dam_name,county,state,latitude,longitude
Baughs Crossroad Lake Dam,Troup,GA,32.92,-85.05
Bedgood'S Lake Dam,Clarke,GA,33.94719,-83.49779000000001
Belair Lake Dam,Henry,GA,33.575278000000004,-84.21583299999999
Berry Reservoir Dam,Floyd,GA,34.325556,-85.263889
Big Cedar Creek Ws Str # 32,Polk,GA,33.9325,-85.267778
Big Cedar Creek Ws Str # 41,Polk,GA,33.937778,-85.21777800000001
Big Cedar Creek Ws Str # 48,Polk,GA,33.95151,-85.19098000000001
Black Rock Mountain Lake Dam,Rabun,GA,34.923840000000006,-83.41216
Blackmon Lake Dam,Muscogee,GA,32.57438,-85.00992
Boleman Hill Road Pond Dam,Hart,GA,34.449417,-82.94255600000001
Bradbury Lake Dam,Fayette,GA,33.505694,-84.522389
Bull Creek Ws Str # 12,Muscogee,GA,32.54634,-84.91468
Bull Creek Ws Str # 14,Muscogee,GA,32.53417,-84.94100999999999
Burdine'S Pond Dam,Fannin,GA,34.833472,-84.36236099999999
Burgess Lake Dam,Troup,GA,32.928611,-84.893056
Carriage Lake Dam,Fulton,GA,33.985875,-84.288011
Cartecay River Ws Str # 3,Gilmer,GA,34.671079999999996,-84.31752
Cartecay River Ws Str # 5,Gilmer,GA,34.667778000000006,-84.286111
Cartecay River Ws Str # 6,Gilmer,GA,34.63747,-84.25655
Cartecay River Ws Str # 7,Gilmer,GA,34.62508,-84.2335
Chastain Lake Dam (Lower-East),Cobb,GA,34.04,-84.551389
Chastain Lake Dam (Upper-West),Cobb,GA,34.041944,-84.556944
Clark Apple Orchard #3,Habersham,GA,34.57195,-83.60421
Clear Lake Dam,White,GA,34.60722,-83.74659
Cochran Lake Dam,Cobb,GA,34.04423,-84.44527
Conasauga Lake Dam,Floyd,GA,34.288333,-85.23472199999999
Cowan Lake Dam,Rockdale,GA,33.601110999999996,-84.039167
Dalton Utilities Impoundment Dike #3,Whitfield,GA,34.789429999999996,-84.87576
Daniels & Thomaselli Lake Dam,Fulton,GA,34.044103,-84.203317
Dobbs Lake Dam,Cobb,GA,33.907139,-84.669744
East Point Reservoir Dam,Fulton,GA,33.697139,-84.542556
Edmondson Lake Dam,Troup,GA,32.95384,-84.88951999999999
Ellijay River W/S Str.  # 11,Gilmer,GA,34.826240000000006,-84.36847
Ellijay River W/S Str. # 3 Dam,Gilmer,GA,34.78302,-84.45361
Ellijay River W/S Str. #4 Dam,Gilmer,GA,34.78756,-84.42666700000001
Ellijay River Ws Str # 10,Gilmer,GA,34.7846,-84.4026
Ellijay River Ws Str # 12,Gilmer,GA,34.81054,-84.35593
Ellijay River Ws Str # 9,Gilmer,GA,34.78003,-84.37666999999999
Erin Lake  Dam,Dekalb,GA,33.867329999999995,-84.2303
Erin'S Place Lake Dam,Columbia,GA,33.432140000000004,-82.21895
Euharlee Creek Ws Str # 4,Polk,GA,33.94,-85.153889
Forest Hills Lake Dam,Richmond,GA,33.478333,-82.059722
Fowler Lake Dam,Gilmer,GA,34.786111,-84.48
Frank C. Amerson Jr. Lake Dam,Bibb,GA,32.892222,-83.73944399999999
Glen Emerald Lake Dam,Dekalb,GA,33.7133,-84.33288
Glenn Lake Dam,Murray,GA,34.743611,-84.736111
Glenover Drive Lake Dam,Fulton,GA,34.140556,-84.332778
Goshen Plantation Lake Dam,Richmond,GA,33.3341,-81.9989
Grandview Lake Dam,Pickens,GA,34.500556,-84.39893000000001
Graves Lake Dam,Fayette,GA,33.275,-84.448611
Harrison Lake Dam,Gilmer,GA,34.737559999999995,-84.46967
Hazel Creek W/S Str. #19,Habersham,GA,34.58827,-83.48331999999999
Hazel Creek Ws Str # 7,Habersham,GA,34.53307,-83.51033000000001
Hightower Creek Ws Str # 13,Towns,GA,34.96709,-83.60418
Hogans Lake Dam,Gwinnett,GA,34.001667,-83.966667
Hulsey Pond Dam,Candler,GA,32.41872,-82.0838
Hunnicutt Lake Dam,Colquitt,GA,31.176111,-83.821389
Imerys 5C Clay Impoundment Dam,Washington,GA,33.03642,-82.89908
Indian Lake Dam,Colquitt,GA,31.22788,-83.74971
Irene Lake Dam,Fulton,GA,34.085190000000004,-84.38695
J. Stephens Lake Dam,Gilmer,GA,34.71705,-84.47837
Jackson Creek Lake Dam,Cobb,GA,33.991111,-84.391111
Keeter Lake Dam,Cherokee,GA,34.189528,-84.515556
Kiker Lake Dam,Gilmer,GA,34.647472,-84.51141700000001
Kings Cliff Lake Dam,Dekalb,GA,33.85771,-84.25952
Kozisek Lake Dam,Fayette,GA,33.493583,-84.454972
Lake Ashley Dam,Carroll,GA,33.65765,-84.923417
Lake At Ansley Dam,Fulton,GA,34.085833,-84.40527800000001
Lake Cindy Dam,Henry,GA,33.41149,-84.30203
Lake Dow Dam,Henry,GA,33.446667,-84.07305600000001
Lake Dow North Dam,Henry,GA,33.46553,-84.06459
Lake Erma Dam,Henry,GA,33.456944,-84.262222
Lake Forrest Dam,Fulton,GA,33.881028,-84.38730600000001
Lake Franklin Dam,Harris,GA,32.82741,-84.77665999999999
Lake George Dam,Carroll,GA,33.6153,-84.96600000000001
Lake Kathy Dam,Whitfield,GA,34.89846,-85.00739
Lake Rockdale Dam,Rockdale,GA,33.704167,-83.979722
Lake Swan Dam,Paulding,GA,33.84895,-84.81728000000001
Lake Wildwood Dam,Bibb,GA,32.86894,-83.763056
Lakefield Commons Lake Dam,Rockdale,GA,33.638611,-84.01083299999999
Lakeside Dam,Bibb,GA,32.84537,-83.57728
Lakeview Plantation Dam,Gwinnett,GA,33.89522,-83.89412
Laura Lake Dam,Cobb,GA,34.005944,-84.554778
Lawson Lake Dam,Monroe,GA,32.968333,-83.733056
Little River W/S  Str. #34,Fulton,GA,34.108056,-84.35333299999999
Little River W/S Str.  #36,Fulton,GA,34.111528,-84.306722
Little River W/S Str. #24,Fulton,GA,34.145083,-84.331528
Little River W/S Str. #25,Fulton,GA,34.15675,-84.30343
Little River W/S Str. #40,Fulton,GA,34.083333,-84.377946
Little River Watershed Structure No. 31,Fulton,GA,34.128056,-84.295278
Little River Ws Str # 39,Fulton,GA,34.083139,-84.39608299999999
Little Sandy Trail Creek Ws Str # 1,Madison,GA,34.101944,-83.348056
Little Sandy-Trail Creek W/S Str. #2,Madison,GA,34.09867,-83.36806
Long Swamp Creek Ws Str # 14,Pickens,GA,34.42433,-84.29733
Long Swamp Creek Ws Str # 8,Pickens,GA,34.44104,-84.33051
Long Swamp Creek Ws Str # 9,Pickens,GA,34.45406,-84.35423
Lookout Lake Dam,Dade,GA,34.80607,-85.47733000000001
Lovejoy Lake Dam,Gilmer,GA,34.67907,-84.40311
Lower Little Tallapoosa Ws Str # 78,Haralson,GA,33.694417,-85.11775
Lower Yarbrough Lake Dam,Washington,GA,32.97978,-82.77614
Margaret Phillips Lake Dam,Fayette,GA,33.497778000000004,-84.452861
Mcclendon Lake Dam,Haralson,GA,33.731722,-85.131389
